book_id,title
13587933,Catalogue of works of industrie and art sent from Sweden
11330688,Le bienheureux Jean Berchmans de la compagnie de Jésus
12988859,De la Lésion à l'Egard des Mineurs dans le Droit Romain et dans le Droit Français
12079295,Cours d'accouchements
13655350,"Alumni pontificii collegii Urbani de propaganda fide, anno 1859"
11811047,Arthur de Cantorbry et Jules Péronnet
12578124,Histoire du Roi de Rome (Duc de Reichstadt)
13240703,Doctrine de la Nouvelle-Jérusalem sur l'Écriture Sainte
11494340,Exposition des académies et écoles des beaux-arts et congrès de l'enseignement des arts du dessin
12020348,Voltaire au Château de Cirey
13139690,Le Cardinal de Richelieu
11999468,Art poétique d'Horace
12090697,Simples lectures préparant à l'étude de la géographie
12517879,Poésies chrétiennes
11260850,Le prince des prosateurs
12549922,Die Schwestern
12014661,"Livres payés en vente publique 1000fr et au-dessus, Depuis 1866 jusqu'à ce jour aperçu sur la vente Perkins à Londres"
22121160,Memorial addresses on the life and character of Michael Crawford Keer
13123241,Notice sur les travaux scientifiques de M. Oechsner de Coninck
11586432,Société libre d'Émulation de Liège.
11404232,Epitre à Monsieur Bouniol de Saint-Geniez
12021269,The New American Practical Navigator
12030823,"Analyse alphabétique des lois, ordonnances et règlements généraux de police en vigueur en Belgique"
12704852,1815
11536087,Au bagne
13449812,Traité complet de l'anatomie des animaux domestiques
11457009,Guide to Spa
12764605,Sprachlehre um nach Ollendorff's Methode mittelst Selbstunterricht in der fürzeft möglichen Zeit (...)
13654349,A roll of the graduates of the University of Glasgow from 31st December 1727 to 31st December 1897
12740989,Traité de la génération des animaux
12612067,Collégiale de Sainte Pharaïlde à Gand
12245718,Notice sur deux monuments anciens
13601423,Rembrandt Harmens Van Rijn
13213333,Registers op het archief
12336744,Certamen literario que para conmemorar el segundo centanario del fallecimiento del dramatico insigne D. Pedro Calderon de la Barca celebraron la Universidad de Barcelona y el instituto provincial de 2.a enseñanza el dia 25 de Mayo 1881
11707170,Muséum des sciences naturelles de Lyon
13741360,Cazin
13107841,Lettres sur L'Adriatique et le Monténégro
13000354,Bibliothèque archéologique
12129740,La guerre privée dans le comté de Hainaut aux treizième et quatorzième siècles
12378483,"Ceremonies des gages de bataille, selon l'ordonnance de Philippe le Bel"
13657181,On the historical antiquity of the people of Egypt
12059872,The debate on the motion for the second reading of the bill on Capital Punishment abolition
22221437,Le protectionnisme
13490755,Handlerifon zu den Quellen des römischen Rechts
13684419,Contes et nouvelles de La Fontaine
12021738,Table of land grant railroads
11792123,Réclamation contre les décrèts sur l'exercice de la police extérieure des cultes présentée à l'Administration centrale du département des deux Nèthes par les curés d'Anvers
11299321,Poésies champêtres d'Horace
13410515,Histoire des corps de troupe
11428290,Rapport sur une communication de documents
11306007,Oeuvres de Vergniaud - Guadet - Gensonné
11664535,Cartulaire de Saint-Vallier
13010298,Das Theseion und der Tempel des Ares in Athen
13081040,"Das ehemalige Spitalzum h. Jacob, nachher klarissen Kloster"
13703077,Handbuch der deutschen Mythologie mit Einschluss der nordischen
11629007,"Analyse et Extraits de Quelques Pièces des Meilleurs Auteurs Dramatiques Français, suivis d'Esther et d'Athalie"
13053049,Systematische beschrijving der dieren
13492907,Dictionnaire grec-français
13444966,Richard von St Victor und Joannes Ruysbroek
13578583,Geologische Beschrijving van Java en Madoera
11651270,L'Australasie
13303922,Beknopte natuurgeschiedenis (dier- en plantenkunde)
12976669,Katalog des Königl rheinischen Museums vaterländischer Alterthümer
12507840,Beitrag zu einer wissenschaftlichen Grundlage für etymologische Untersuchungen auf dem Gebiete der französischen Sprache
12667259,Moedertaal
12636650,Oras completas
13122346,Triton und Euphemos oder die Argonauten in Lybien
12091637,La grande Catherine
12088160,Pierre Gringore et les Comédiens Italiens
11994276,Andrée
12226629,"Lectures choisies. La Belgique pittoresque, monumentale et littéraire"
12303599,Réponse à l'examen critique de M. Stanislas Julien
13298512,Guide médical des Antilles et des régions intertropicales
12859097,Les agrandissements d'Anvers en 1549
13263380,Dinamo-magnetometro
12894350,De l'architecture contemporaine
12526269,Adolphe
11565633,Leçons de Choses en Français et en Néerlandais / Aanschouwelijke Lessen in het Fransch en in het Nederlandsch
12024234,Geschiedenis van de Gelukzalige Margaretha-Maria en den Oorsprong der Devotie tot Jesus' Hart
12680988,Syntaxe latine abrégée
15097212,"Discours Adressé à Messeigneurs les Etats du Brabant, en leur Assemblée. Le 17 juillet 1787"
13392001,Bibliotheca Lindesiana
13025659,Vita di S. Luigi Gonzaga della Compagnia di Gesu
12035742,Anathème à la Guerre!
12281486,Catalogo da Bibliotheca Municipal
12748520,La nationalité des Ubiens
13033181,Socialisme égalitaire
11330764,Recueil de Jurisprudence Notariale
12726469,History of the regency and reign King George the fourth
11884002,La Caverna ossifera di Frasassi
11670422,Mémoires d'un bourgeois de Paris
11716994,Étude sur les divers systèmes de serres
13367103,La photographie appliquée à l'archéologie
13613519,Mémoire sur l'organisation de l'enseignement moyen
12257890,La Badia o trappa di Casamari nel suo doppio aspetto monumentale e storico brevemente descritta
12381463,Hommage à la mémoire de la princesse de Liévin
11676770,Die Papageien
13553998,Das herzogliche Kunstkabinet zu Gotha
12785113,Nécrologe et cartulaire des Dominicains de Grenoble
12014613,De Bedelares van Saint-Eustache of de Wroeging
12994351,"Droit romain, de la preuve littérale. Droit français, de la force probante de l'acte notarié"
12422803,België en de Kongo
12183096,La fin de la littérature classique allemande et la jeune Allemagne
12144268,Cours complet d'économie domestique et d'alimentation
12511674,Leçons de trigonométrie sphérique
12023321,"Preliminary report upon invertebrate fossils collected by the expeditions 1871, 1872, and 1873"
11491384,De Arme Schoolmeester. Oranje in de Kempen.
13448864,"Programme détaillé du cours complet de mathématiques élémentaires,"
22193759,Aardrijksundige beschrijving van Midden-Sumatra
13472939,"Glossaire roman des Chroniques rimées de Godefroid de Bouillon, du Chevalier au Cygne et de Gilles de Chin"
13455308,Bestimmungen über Handel and Schifffahrt der Vereinigten Staaten von Nord Amerika
11520593,Abdication de Charles-Quint
17204157,Congrès international de thalassothérapie
12136271,Il fanciullo alla Cresima
11763311,Les véritables causes de la guerre
12285884,Les Druides
12384864,Le livre des visions et instructions de la Bienheureuse Angèle de Foligno
11703392,"Courage, St-Père, courage!"
12558486,De heilige Rosa van Viterbië
12846755,L'Art Chrétien et l'Ecole Allemande
15099949,"Aen Myne zeer Eerweêrde Heeren die Raedslieden, Litmaeten van den Souvereynen Raede Van Brabant, actuelyk binnen de Stad Antwerpen residerende"
11451032,L'ombre de la marquise de Créquy
22262150,L'apocalypse et Rome papale
17204494,"Compte-rendu du Congrès international colonial, sous le haut patronage de S. M. le Roi des Belges"
12650922,Deventer's oudste Stadrecht (1448)
12276371,Notice sur la grande carte topographique de la France dite carte de l'état-major
13470444,Simples esquisses de la guerre
12991521,"Du droit de préférence entre créanciers hypothécaires, en droit romain et en droit français"
11785331,"Histoire de Jeanne d'Albret, Reine de Navarre"
12808903,Histoire du prince royal duc d'Orléans
13553957,Das Grüne Gewölbe in Dresden
12591087,De sacramentis in specie
11948317,Bemerkungen über ein Paar Schlesische Säughthierarten (...)
11265805,Les fastes de Versailles
11298463,Inventaire analytique des archives anciennes de la mairie d'Angers
13482544,"Oeuvres oratoires de Challemel-Lacour, de l'académie française"
11815894,Voyages dans l'Amérique septentrionale
22284412,Droit romain ; Origine de l'Action en garantie d'éviction
12104036,"Verslag van het bestuur der afdeeling 's Gravenhage van de vereeniging Nederlandsche Mettray, over 1854"
12557948,Vingt Années de République Parlementaire au Dix-Septième Siècle
12351955,La Jeunesse et l'évangile
11320203,Histoire de la Littérature Italienne
11559528,"Léopold Ier et Léopold II,"
22535080,La collezione litologica che con tanto amore e squisitezza di gusto va facendo da molti anni il Signor de Meester (...)
11451427,Deutsches bürgerthum im mittelalter
12751346,La croix et l'autel dans tous les temps et dans l'éternité
11466698,Geschiedenis der stad en kastelnij van Veurne
11633611,Congrès de la paix universelle
11266800,Der Selige Petrus Canisius
12283343,Du redressement et de l'immobilisation dans le traitement des tumeurs blanches des membres
12627702,Les lois belges à la portée de tous
12400940,Petri Caprano S. R. E. Cardinalis Laudatio funebris
12227668,Aperçus sur quelques détails de la guerre
12990221,De l'Acquisition des Fruits en Droit Romain et en Droit Français
12829332,Mary Queen of Scots and Her Marriage with Bothwell
11396037,L'Eglise Essénienne au Clergé Romain
11560681,Généalogie de la famille Courcol dite de Bailliencourt
13054437,"Histoire de la gilde souveraine des couleuvriniers, arquebusiers et canonniers, dite chef-confrérie de Saint Antoine, à Gand"
11703964,"Mémoire justificatif pour MM. Prosper Thuysbaert, Edouard Louvau, François De Poorter, Charles Louis Van Damme, Edouard Vanden Abbeele et Alphonse Vanden Abbeele, tous à Lokeren"
11697764,La vie arabe et la société musulmane
12296218,Étude sur l'état des rapports des domestiques et des maîtres et sur les moyens d'améliorer ces rapports
11720268,Wiertz
12058098,De la Trinité antique et du droit de vie et de mort
12632936,"Life of Beato Angelico da Fiesole, of the Order of Friar-Preachers"
13696584,La botanica y los botanicos de la Peninsula hispano-Lusitana
11611745,Le curé politique
13717323,Magyarische Grammatik
11644831,De maetschappy voor tael en kunst
15101604,"De Bruxelles, le 12 février 1789. L'Empereur ayant été informé que son Conseil de Brabant, sur la réquisition des Etats de cette Province, avoit rendu, pendant le courant des mois de mai & de juin 1787, plusieurs décrets aussi attentatoires à la Souveraineté de S.M. que contraire aux regles inviolables ..."
12023839,"Laws, by-laws and rules and regulations of the reform-school of the district of Columbia"
12803306,Les craies grises phosphatées dans la métallurgie de l'acier Thomas et Gilchrist
11952551,Considérations sur la Monnaie de l'Epoque Romane et Description de quelques Triens Mérovingiens
12836886,Ragionamento
12564913,Traité des maladies de l'utérus et de ses annexes
12683251,Beknopt etymologisch woordenboek der nederlandsche taal
12365825,Storia documentata di Carlo V
11937871,Liber memorialis
11604067,"Kurzer Unterricht zur Erziehung der Obstbàume, Küchen-Handels-und Arzneigewächse, besonders in Industrie-Gärten"
12104394,"De La part que la société des Sciences du Hainaut à prise à l'érection de la statue d'Orlande de Lassus, célèbre compositeur montois"
12293803,"Bombe lumineuse, ou abolition de la contrainte par corps"
11666962,Eléments de géométrie par A.-M. Legendre.
13671584,"Mathematik, Zeichnenkunst Physik und Chemie in ihrer Anwendung und Beziehung auf die praktische Gärtnerei"
11996353,Les catacombes romaines
13117265,Ueber die Lehrmethode Schleiermacher's
12922900,Description de plusieurs fiertons ou poids monétaires de quelques anciennes monnaies d'or françaises
12492717,Tableaux synoptiques pour faciliter l'étude de la syntaxe latine de J. Gantrelle
13611649,Distribution solennelle des prix aux élèves de l'Athénée le 17 août 1845
13351223,Essais (et nouveaux Essais) de Psychologie contemporaine
11740099,Lessen over natuurwetenschap
