book_id,title,year,country_code,country_name
12225332,Histoire du matérialisme et critique de son importance a notre époque,1877,fr,France
12613533,Sur les Graveurs des Inscriptions Antiques,1859,fr,France
11706359,Recueil des lois et arrêtés sur les pensions civiles et ecclésiastiques et des arrêtés spéciaux concernant la caisse des pensions des veuves et orphelins des fonctionnaires et employés du Département de l'Intérieur,1883,be,Belgium
12973681,"Handboek der Landen Volkenkunde, Geschied-, Taal-, Aardrijksen Staatkunde van Nederlandsch Indie",1841,ne,Netherlands
12110752,Novum Testamentum Graece,1856,gw,Germany
12785901,Catalogo ragionato dei libri di prima Stampa,1875,it,Italy
18229749,Notre-Dame d'Anvers,1841,be,Belgium
12567490,Assemblées nationales et Princes,1867,ru,Russia
11780203,Dombey en zoon,1884,be,Belgium
11787277,"Statistique des Lettres et des Sciences en France, Institution et Etablissemens Littéraires et Scientifiques",1834,fr,France
11625432,Het zoontje,1880,be,Belgium
12856835,A propos de la nouvelle vie de Jésus,1865,fr,France
11282214,Ueber die Südslavische Guslaren-Epik,1894,gw,Germany
11620338,Précis historique des institutions judiciaires de la Belgique,1831,be,Belgium
22399230,De ware goudmijn,1897,be,Belgium
12154450,Matériel roulant des chemins de fer,1867,be,Belgium
22209024,L'Intermédiare,1875,xx,Unknown
11949012,Les expériences de tir de Bucharest,1886,be,Belgium
12144169,De l'importation du jury sur le continent,1885,be,Belgium
22118173,Die Welt als Wille und Vorstellung,1873,gw,Germany
13415064,Recueil des Traités et Conventions conclus par le Royaume des Pays-Bas avec les Puissances étrangères depuis 1813 jusqu'à nos Jours,1858,ne,Netherlands
13474819,Bestendige commissie voor de maetschappyen van ouderlingen bystand,1860,be,Belgium
13437733,De minderjarigheid in haer gansch tydvak voorgedragen,1855,be,Belgium
12492120,Sur l'orientation des sépultures franques,1895,be,Belgium
12153812,Description des locomotives Stephenson,1835,be,Belgium
12333664,"Histoire du Journal ""la Mode""",1861,fr,France
12698433,Encyklopaedie und Methodologie der Romanischen Philologie,1884,gw,Germany
11506686,Les armes à feu portatives se chargeant par la culasse,1867,fr,France
12087013,Classification de 160 Huiles et Graisses Végétales,1874,be,Belgium
12225237,La reine Alèna,1892,be,Belgium
11720225,"Catalogue d'une très belle et nombreuse collection de livres de Théologie, de Jurisprudence, de Sciences et Arts, (...)",1848,be,Belgium
12996760,"Droit romain des moyens de mettre fin à l'indivision d'une hérédité et des effets du partage, à Rome. Droit français du caractère et des effets du partage dans le droit français, ancien et moderne",1884,fr,France
12436839,Supplément contenant les lois du 11 avril et du 12 septembre 1895 relatives aux élections communales,1895,be,Belgium
13599034,"Biographie de Jacques Jonghelinck, sculpteur, graveur de sceaux et de medailles, etc.",1854,be,Belgium
12131791,Les amours profondes,1875,fr,France
