book_id,language
11952551,fre
11268495,fre
12836886,ita
12564913,fre
12683251,dut
12365825,ita
11937871,lat
11604067,ger
11764270,dut
12265369,fre
12104394,fre
12293803,fre
12788919,fre
12258111,fre
12812277,fre
12894945,fre
11666962,fre
22069960,fre
22358131,fre
13671584,ger
13300919,eng
11996353,fre
13117265,ger
12922900,fre
12492717,fre
13611649,fre
13351223,fre
11425201,fre
11740099,dut
12280355,fre
13309704,eng
12499091,fre
12239451,fre
12053858,fre
12112001,ita
13464659,fre
13227343,spa
11812790,fre
11506792,fre
12606472,fre
11788277,fre
12365339,dut
11317855,ger
13717014,ger
13584893,fre
12203112,fre
13231200,ger
11279101,ger
13506067,spa
13062997,multiple languages
22175410,fre
11267129,fre
12621355,dut
12742290,dut
13278659,ger
13600018,fre
12818721,fre
22431079,fre
11855462,spa
13617662,ita
22097645,eng
12715640,fre
12856440,fre
12656353,fre
11915638,ita
11317498,fre
13477972,eng
12643417,ita
12649927,fre
13624618,fre
13387842,fre
11819890,dut
11709058,dut
11614986,fre
11643811,fre
12244736,ita
12094560,fre
12132265,fre
13026140,fre
13303134,fre
11460952,eng
11826744,dut
12318712,fre
11441066,fre
11434602,fre
11390557,fre
11287982,fre
12387377,fre
22335868,lat
22222722,ger
12274354,fre
12864338,fre
12259308,dut
13688725,fre
11995035,lat
22158188,fre
13660843,fre
12250822,fre
13366413,fre
13022899,fre
13732372,fre
13315470,fre
13277408,fre
13576247,ger
12953482,fre
11587924,eng
12995500,fre
11455723,multiple languages
12931360,ita
11274099,ger
12608292,ger
13602698,fre
11790375,fre
22233517,dut
12380724,fre
17476855,fre
15099272,fre
12766129,fre
13043449,eng
12552057,fre
12124699,fre
13113109,ger
12055527,ger
12349545,fre
13649026,por
11777063,fre
13685393,fre
12384903,fre
13051038,fre
12521836,spa
12444244,ita
12795055,dut
12573485,ger
12692604,fre
12661460,fre
12056843,ger
11374094,eng
11989289,lat
12100943,dut
11754516,ger
13648732,por
11286952,ger
11731905,ger
17026797,fre
11606178,dut
13132164,fre
12120418,spa
11504614,dut
11320872,fre
13532624,fre
13317862,spa
13707247,ger
12211072,fre
12054631,dut
13426669,fre
13498116,fre
