book_id,title,year,language,publisher_name_cleaned,period
12362320,Les Quatres Coins,1852,fre,,1831-1860
22070660,Die Deutscher Mystiker des vierzehnten und fünfzehnten Jahrhunderts,1855,ger,,1831-1860
12546849,Lehrbuch der reinen und technischen Chemie,1853,ger,,1831-1860
11582928,Der Westbau des Münsters zu Essen,1890,ger,,1891-1901
12119326,Het eerste wetenschappelijk onderwijs,1890,dut,,1891-1901
11976619,Grammaire Musicale ou Théorie des Principes de Musique,1838,fre,,1831-1860
13508368,Historia dos tres grandes capitaes da Antiquidade,1894,por,Imprensa Nacional,1891-1901
11811190,Organisation électorale et representation de tous les pays civilisés,1874,fre,Librairie De Guillaumin & Cie,1861-1890
22175409,"Mémoire pour Mr Antoine Rally, gentilhomme Anglais, domicilié a Liège contre Mr Jacques-Bernard-Joseph Bellefroid commissionnaire en fonds et effets",1832,fre,,1831-1860
11554054,De l'abus des spiritueux,1878,fre,H. Manceaux,1861-1890
13250926,The text of Shakespeare Vindicated,1853,eng,Pickering,1831-1860
13457592,Victor Hugo après 1852,1894,fre,,1891-1901
12753883,L'archéologie préhistorique,1880,fre,,1861-1890
12019566,La Liberté Spirituelle et Traités Religieux,1866,fre,,1861-1890
12156751,"Mémoire sur le Zelkoua, Planera Crenata",1831,fre,,1831-1860
13533376,Verslag over de werk-zaamheden gedurende het bestuurjaar 1868-1869,1869,dut,,1861-1890
13717119,"Versuch einer Entwicklung der Sprache, Abstammung, Geschichte, Mythologie und bürgerlichen Verhältnisse der Liwen, Lätten, Eesten (...)",1839,ger,,1831-1860
12124632,"De fakkel van het ouden en alleen waer geloof, opgedragen aen den Hoogweirdigsten Heer Mijn Heer Govardus Gerardus Van Eersel, XVI, Bisschop van Gend, Graeve van Everghem ec. ec. ec",1774,dut,,1751-1800
12579754,Le Bresil à l'exposition internationale de St.-Pétersbourg 1884,1884,fre,,1861-1890
11679170,"Projet de loi sur les conseils généraux et les conseils municipaux,",1865,fre,,1861-1890
12225332,Histoire du matérialisme et critique de son importance a notre époque,1877,fre,,1861-1890
12613533,Sur les Graveurs des Inscriptions Antiques,1859,fre,,1831-1860
11706359,Recueil des lois et arrêtés sur les pensions civiles et ecclésiastiques et des arrêtés spéciaux concernant la caisse des pensions des veuves et orphelins des fonctionnaires et employés du Département de l'Intérieur,1883,fre,,1861-1890
12973681,"Handboek der Landen Volkenkunde, Geschied-, Taal-, Aardrijksen Staatkunde van Nederlandsch Indie",1841,dut,,1831-1860
12110752,Novum Testamentum Graece,1856,multiple languages,,1831-1860
12785901,Catalogo ragionato dei libri di prima Stampa,1875,ita,,1861-1890
18229749,Notre-Dame d'Anvers,1841,fre,L. J. De Cort,1831-1860
12567490,Assemblées nationales et Princes,1867,rus,A.I. Mamontov,1861-1890
11780203,Dombey en zoon,1884,dut,"Hoste, Adolphe Joseph",1861-1890
11787277,"Statistique des Lettres et des Sciences en France, Institution et Etablissemens Littéraires et Scientifiques",1834,fre,,1831-1860
11625432,Het zoontje,1880,dut,Imprimerie De J.-H. Dehou,1861-1890
12856835,A propos de la nouvelle vie de Jésus,1865,fre,,1861-1890
11282214,Ueber die Südslavische Guslaren-Epik,1894,ger,J. F. Richter,1891-1901
11620338,Précis historique des institutions judiciaires de la Belgique,1831,fre,H. Tarlier,1831-1860
22399230,De ware goudmijn,1897,multiple languages,"Beyaert, Karel",1891-1901
12154450,Matériel roulant des chemins de fer,1867,fre,Charles Lelong,1861-1890
22209024,L'Intermédiare,1875,fre,,1861-1890
11949012,Les expériences de tir de Bucharest,1886,fre,,1861-1890
12144169,De l'importation du jury sur le continent,1885,fre,Alliance Typographique,1861-1890
22118173,Die Welt als Wille und Vorstellung,1873,ger,,1861-1890
13415064,Recueil des Traités et Conventions conclus par le Royaume des Pays-Bas avec les Puissances étrangères depuis 1813 jusqu'à nos Jours,1858,fre,,1831-1860
13474819,Bestendige commissie voor de maetschappyen van ouderlingen bystand,1860,dut,Drukkery Van Korn,1861-1890
13437733,De minderjarigheid in haer gansch tydvak voorgedragen,1855,dut,,1831-1860
12492120,Sur l'orientation des sépultures franques,1895,fre,,1891-1901
12153812,Description des locomotives Stephenson,1835,fre,,1831-1860
12333664,"Histoire du Journal ""la Mode""",1861,fre,,1861-1890
12698433,Encyklopaedie und Methodologie der Romanischen Philologie,1884,ger,Henninger Frères,1861-1890
11506686,Les armes à feu portatives se chargeant par la culasse,1867,fre,,1861-1890
12087013,Classification de 160 Huiles et Graisses Végétales,1874,fre,,1861-1890
12225237,La reine Alèna,1892,fre,,1891-1901
11720225,"Catalogue d'une très belle et nombreuse collection de livres de Théologie, de Jurisprudence, de Sciences et Arts, (...)",1848,fre,Em. Devroye & Cie,1831-1860
12996760,"Droit romain des moyens de mettre fin à l'indivision d'une hérédité et des effets du partage, à Rome. Droit français du caractère et des effets du partage dans le droit français, ancien et moderne",1884,fre,,1861-1890
12436839,Supplément contenant les lois du 11 avril et du 12 septembre 1895 relatives aux élections communales,1895,fre,Bruylant-Christophe & Cie,1891-1901
13599034,"Biographie de Jacques Jonghelinck, sculpteur, graveur de sceaux et de medailles, etc.",1854,fre,,1831-1860
12131791,Les amours profondes,1875,fre,Librairie Des Bibliophiles,1861-1890
11631782,Nuova Guida Ovvero Descrizione Storico-Artistico-Critica della Città e Contorni di Firenze,1842,ita,,1831-1860
13377992,Mémoires d'anthropologie,1871,fre,,1861-1890
11586596,Rhein-und Ahr-Wanderungen,1846,ger,Eduard Weber,1831-1860
13306387,Untersuchungen über die Glaubwürdigkeit der altrömischen Geschichte,1858,ger,,1831-1860
13308643,Etude littéraire sur le XIVème Siècle,1857,fre,A. Decq,1831-1860
12918565,Précis d'histoire contemporaine de Belgique,1889,fre,,1861-1890
11756111,Geschichte der Niederfränkischen Geschafatssprache,1874,ger,Ferdinand Schröningh,1861-1890
13713107,La mère de Don Juan,,fre,,
12822354,Traité de la Science des Finances,1888,fre,,1861-1890
11941261,Paris-Berlin,1870,fre,Librairie Universelle De J. Rozez,1861-1890
12506787,Res gestae divi Augusti,1883,lat,Weidmannsche Buchhandlung,1861-1890
17581069,Les grandes armoiries du Duc Charles de Bourgogne,1877,fre,,1861-1890
12060389,De la peine de mort,1868,fre,,1861-1890
13471807,"A list of delegates to the Peace Congress held in Exeter Hall, London, on July 22nd, 23rd, and 24th, 1851",1851,eng,Richard Barrett,1831-1860
12057087,Della collocazione dei libri nelle pubbliche biblioteche,1890,ita,Sansoni,1891-1901
11417246,La belgique en dix-huis cent cinquante-deux,1852,fre,,1831-1860
11844795,Conseil provincial du Hainaut. Session de 1843,1843,fre,,1831-1860
12511497,Les archives départementales du Nord pendant la Révolution,1873,fre,,1861-1890
13558225,Flandrische Staats- und Rechtsgeschichte bis zum Jahr 1305,1835,ger,Ludw. Fried. Fues,1831-1860
13706653,Über die Nibelungenhandschrift h und die Iweinhandschrift a,1899,multiple languages,Druck Von Julius Abel,1891-1901
12243063,"Etudes Economiques, Politiques et Littéraires",1878,fre,,1861-1890
11337874,Leven van Zuster Rosalia,1862,dut,"Van Velsen, E.-F.",1861-1890
22070468,Geogenische und geognostische Studien auf einer Reise durch Russland und den Ural,1862,ger,G. Jonghaus,1861-1890
12592657,Mémoires de l'Académie Impériale de Médecine,1867,fre,,1861-1890
11997678,"Carmen Saeculare Belgicum (1879-1887). Summo Pontifici Leoni XIII, occasione Suae Sanctitatis a sacro presbyteratu anniversarii quinquagesimi oblatum dedicatumque",1887,lat,,1861-1890
22264032,Anvers & la nationalité Belge,0,fre,,
11673033,De la suppression du péage de l'Escaut,1862,fre,,1861-1890
13223670,Aanteekeningen betreffende eene reis door de Molukken,1856,dut,,1831-1860
12576673,Ambroise Paré d'après de nouveaux Documents découverts aux Archives Nationales et des Papiers de Famille,1884,fre,,1861-1890
13416832,Dictionnaire de procédure civile et commerciale,1850,fre,,1831-1860
13459808,Lo studio generale a Mondovi (1560-1566),1895,ita,,1891-1901
12852240,Sermoenen op de Gedachtenis der geloovige zielen,1898,dut,Claeys-Weghsteen,1891-1901
11661571,Inventaire général analytique des archives de la ville et de l'église primaire de Saint-Nicolas (Waes),1872,fre,,1861-1890
11719491,"Commentaire de la loi du 18 avril 1851 sur les faillites, banqueroutes et sursis",1851,fre,,1831-1860
11668121,"De Aftocht van Moscou, of lotgevallen van een Belgisch soldaat in Rusland",1880,dut,,1861-1890
12045242,Bulletin de l'Association littéraire internationale,1883,fre,,1861-1890
11539582,Essai d'interprétation de l'action évacuante du tartre stibié,1878,fre,H. Vaillant-Carmanne,1861-1890
11917048,Méthode analytique & synthétique de lecture,1886,fre,Ad. Wesmael-Charlier,1861-1890
12597487,Le parc de Bruxelles,1849,fre,,1831-1860
12096853,Journal de la Société d'archéologie et du Comité du musée Lorrain,1840,fre,,1831-1860
