book_id,year
12163581,1852
11528967,1870
12021785,1875
22169951,1880
11677526,1865
13672019,1900
11338323,1862
11484566,1876
13249372,1893
11835009,1880
11705027,1882
13431121,1895
12000506,1833
13621021,1892
12530677,1876
22166460,1876
22431064,1898
22318851,1893
13032985,1850
11546837,1870
12002043,1853
12811648,1900
22279769,1845
22189337,1884
11488969,1867
13398939,1887
11453740,1890
12174683,1891
11936293,1843
11248030,1901
13586687,1898
13600878,1859
12244336,1867
11612112,1880
11765643,1871
11817807,1859
12550663,1884
11314964,1855
13448678,1833
11359276,1900
12044914,1844
12291506,1893
11571751,1878
11596622,1844
22366484,1898
12249033,1879
11663948,1858
12455258,1839
12462123,1896
11284879,1896
11901998,1836
13532901,1847
12170782,1891
13317549,1842
11653950,1856
13028249,1834
13451181,1884
12445844,1895
12738711,1887
12934321,1831
11741719,1883
13526073,1860
12362320,1852
22070660,1855
12546849,1853
11582928,1890
12119326,1890
11976619,1838
13508368,1894
11811190,1874
22175409,1832
11554054,1878
13250926,1853
13457592,1894
12753883,1880
12019566,1866
12156751,1831
13533376,1869
13717119,1839
12124632,1774
12579754,1884
11679170,1865
12225332,1877
12613533,1859
11706359,1883
12973681,1841
12110752,1856
12785901,1875
18229749,1841
12567490,1867
11780203,1884
11787277,1834
11625432,1880
12856835,1865
11282214,1894
11620338,1831
22399230,1897
12154450,1867
22209024,1875
11949012,1886
12144169,1885
22118173,1873
13415064,1858
13474819,1860
13437733,1855
12492120,1895
12153812,1835
12333664,1861
12698433,1884
11506686,1867
12087013,1874
12225237,1892
11720225,1848
12996760,1884
12436839,1895
13599034,1854
12131791,1875
11631782,1842
13377992,1871
11586596,1846
13306387,1858
13308643,1857
12918565,1889
11756111,1874
12822354,1888
11941261,1870
12506787,1883
17581069,1877
12060389,1868
13471807,1851
12057087,1890
11417246,1852
11844795,1843
12511497,1873
13558225,1835
13706653,1899
12243063,1878
11337874,1862
22070468,1862
12592657,1867
11997678,1887
11673033,1862
13223670,1856
12576673,1884
13416832,1850
13459808,1895
12852240,1898
11661571,1872
11719491,1851
11668121,1880
12045242,1883
11539582,1878
11917048,1886
12597487,1849
12096853,1840
22469572,1889
12265260,1855
12672180,1857
11983077,1890
12015784,1876
11292419,1852
11773897,1871
11697149,1878
13536860,1867
22266034,1845
13549607,1861
12910698,1889
13587933,1862
11330688,1866
11821325,1850
12485658,1896
12988859,1883
12079295,1869
13655350,1859
11852694,1867
13014045,1883
11811047,1847
12578124,1852
13240703,1855
11494340,1869
12020348,1868
13139690,1870
11999468,1846
12090697,1889
12133634,1890
12517879,1896
13456166,1851
11260850,1899
12549922,1883
12014661,1877
22121160,1877
11590034,1879
11630744,1880
14989134,1788
13123241,1884
11586432,1879
11404232,1852
12021269,1874
12030823,1898
13356738,1894
11357452,1887
13011627,1865
13496940,1867
12704852,1898
11536087,1877
13449812,1840
12567417,1863
11736212,1866
11457009,1875
12764605,1850
13654349,1898
12740989,1887
12612067,1852
12245718,1848
13601423,1863
13213333,1856
12336744,1881
13257742,1844
11707170,1884
13741360,1876
13107841,1853
13000354,1846
12129740,1890
12378483,1830
