book_id,city_name
13122198,Paris
11716994,Gand
13367103,Paris
11673380,Bruxelles
13613519,Bruxelles
11705521,Mechliniae
12257890,Roma
12381463,St Pétersbourg
13338602,Helsingfors
11676770,Leiden
13553998,Gotha
12785113,Romans
11335078,Bruxelles
12014613,Gent
12994351,Dijon
12422803,Maldeghem
12183096,Bruxelles
12900596,Bruxelles
12070849,Paris
12144268,Namur
12511674,Bruxelles
11263218,Paris
12144122,Bruxelles
12802149,Tournai
13289123,Paris
12023321,Washington
11491384,Anvers
11846790,Liège
11645216,Leipzig
13448864,Paris
12965311,Namur
12254565,[Gent]
11612200,Bruxelles
22193759,Leiden
13472939,Bruxelles
15102782,[Brussel?
13455308,Wien
11520593,Gand
12056542,Malines
17204157,Ostende
12461056,[Bruges?]
12160563,Nancy
12136271,Roma
12136271,Napoli
11763311,Bruxelles
11834824,Paris
12285884,Paris
12344937,Rotterdam
12384864,Bruxelles
11703392,Louvain
12205107,Paris
12558486,Gent
11275038,Roma
12846755,Paris
15099949,[Plaats van uitgave niet geïdentificeerd]
12877580,Liége
12733487,Bruxelles
11451032,Paris
22262150,Paris
12735452,Aalst
17204494,Bruxelles
12650922,Deventer
12276371,Paris
13470444,Londres
12882267,Liége
12991521,Toulouse
12738805,Bruxelles
12247257,Edinburgh
11785331,Paris
12808903,Paris
13553957,Dresden
13553957,Leipzig
13065895,Cassellis
12591087,Tournai
11948317,[Plaats van productie niet geïdentificeerd]
13675903,Paris
11265805,Paris
13201798,Bruxelles
11298463,Paris
11298463,Angers
13482544,Paris
11815894,Paris
11561385,Mons
11561385,Bruxelles
11663545,Bruxelles
11294429,Berlin
12421570,Liége
13330434,Paris
22284412,Bourg
12104036,'s Gravenhage?
12557948,Paris
12351955,Paris
11320203,Paris
11559528,Bruxelles
13298538,Paris
22535080,[Lieu de publication non identifié]
12349849,Luik
11451427,Frankfurt a. M.
13056281,Bruxelles
12751346,Roulers
12751346,Bruxelles
11466698,Gent
11633611,Bruxelles
11266800,Wien
15459004,Hannoverae
12239177,Gand
12454692,Bruxelles
12283343,Bordeaux
12627702,Liége
11967791,Anvers
22181165,Paris
12400940,Romae
13703599,Paris
12227668,Paris
12072621,Bruxelles
12990221,Poitiers
12829332,London
12829332,Edinburgh
11396037,Bruxelles
11273289,Berlin
11560681,Tournai
12338360,Paris
13054437,Gand
11703964,Gand
13704834,Paris
11697764,Paris
12296218,Besançon
13003804,Paris
11590012,London
11720268,Bruxelles
12058098,Bruxelles
12632936,London
12550887,Stuttgart
13696584,Madrid
11330298,Antwerpen
11611745,Anvers
13717323,Wien
11644831,Antwerpen
11346573,Budapest
15101604,[Bruxelles?
12023839,Washington
12803306,Bruxelles
11952551,Metz
11268495,Bruxelles
12836886,Napoli
12564913,Paris
12683251,Gand
12365825,Venetië
12365825,Padua
12365825,Bologna
11937871,Lipsiae
11604067,Bamberg
11764270,Antwerpen
12265369,Bruxelles
12104394,Mons
12293803,Paris
12788919,Paris
12258111,Paris
12812277,Paris
12894945,Lille
12894945,Paris
12894945,Rome
11666962,Namur
22069960,Reims
22358131,Paris
13671584,Berlin
13300919,Leipzig
11996353,Bruxelles
13117265,Berlin
12922900,Paris
12492717,Gand
13611649,Bruxelles
13351223,Paris
11425201,Fontenay-le-Comte
11740099,Gent
12280355,Mons
13309704,London
12499091,Paris
12239451,Paris
12053858,Abbeville
12112001,Milan
13464659,Paris
13227343,Pamplona
11812790,Corbeil
11506792,Paris
12606472,Gand
11788277,Bruxelles
12365339,Gent
11317855,Leipzig
13717014,St. Petersburg
13584893,Cambrai
12203112,Lierre
12203112,Anvers
13231200,Leipzig
11279101,Hamburg
13506067,Montevideo
13062997,Trieste
13062997,Berlin
22175410,Paris
11267129,Paris
12621355,Tongeren
12742290,Gent
13278659,Leipzig
13600018,Paris
12818721,Bruxelles
22431079,Paris
11855462,Braine-le-Comte
11855462,Paris
11855462,Méjico
13617662,Trieste
22097645,London
12715640,Bruxelles
12856440,Anvers
12656353,Mexico
11915638,Torino
11317498,Agen
13477972,London
12643417,Napoli
12649927,Paris
13624618,Liége
13387842,Paris
11819890,Rousselare
11709058,Brugge
11614986,Bruxelles
11614986,Paris
11643811,Bruxelles
12244736,Roma
12094560,Paris
12132265,Bruxelles
13026140,Paris
13303134,Paris
11460952,London
11826744,Antwerpen
12318712,Lille
12318712,Paris
11441066,Bruxelles
11441066,Paris
11434602,Bruxelles
11390557,Bruxelles
11287982,Paris
12387377,Paris
22335868,Mechelen
22222722,Freiburg im Breisgau
12274354,Bruxelles
12864338,Liège
12259308,Rousselaere
13688725,[Bruxelles]
11995035,Paris
22158188,Paris
13660843,Paris
12250822,Bruxelles
13366413,Paris
13022899,Paris
13732372,Paris
13315470,Tokio
13277408,Leipzig
13576247,Leipzig
12953482,Lille
11587924,London
12995500,Paris
11455723,Lipsiae
12931360,Torino
11274099,Hamburg
12608292,Kopenhagen
13602698,Bruxelles
11790375,Montpellier
22233517,[Bruxelles]
12380724,Paris
17476855,Liège
15099272,Bruxelles
12766129,Paris
13043449,London
13043449,Paris
12552057,Bruxelles
12124699,Paris
13113109,Nürnberg
12055527,Trier
12349545,Liège
12349545,Lyon
12349545,Paris
13649026,Lisboa
11777063,Verviers
13685393,Mons
12384903,Bruxelles
13051038,Digne
12521836,Lima
12444244,Torino
12795055,Anvers
12573485,Leipzig
12692604,Paris
12661460,Paris
12661460,Metz
12056843,Berlin
11374094,London
11374094,Paris
11374094,Melbourne
11989289,Parisiis
12100943,Utrecth?
11754516,Braunschweig
13648732,Coimbra
11286952,Berlin
11731905,Berlin
17026797,Lille
11606178,Gent
13132164,Bruxelles
12120418,Tournai
11504614,Dendermonde
11320872,Bruxelles
11320872,Liège
13532624,Ypres
13317862,Madrid
13707247,Marburg
12211072,Bruxelles
12054631,Bruxelles
13426669,Tournai
13498116,Paris
13681452,Paris
11609478,Mons
12393048,Charleroi
12521959,Bruxelles
12756734,Antwerpen
12944200,Paris
11837033,Bruxelles
12398469,Roma
13656219,Mons
12922933,Paris
12132733,Paris
12830674,St.-Pétersbourg
11493695,Mons
13696100,Leipzig
12227120,Firenze
12504828,Paris
11841367,Paris
11449003,Tübingen
11436804,Bruxelles
13560173,Mézières
12262514,Gand
11957020,Louvain
11957020,Bruxelles
12045646,Bruxelles
12984328,Paris
12138337,[Paris?]
11767356,Anvers
12170331,Paris
13464625,Paris
12217172,Rome
11811220,Bruxelles
13481292,Praga
13350367,Paris
12126392,Gent
11900402,Firenze
12264611,Leuven
22111343,Cassel
12034997,Louvain
11518224,Huy
11518224,Paris
11448868,Paris
12332549,Paris
12582186,Paris
13702261,Paris
13210012,Paris
22099729,Hasselt
12111076,Tours
12364974,Lierre
13602008,Anvers
13514261,Madrid
12653326,Paris
22239173,Leipzig
12451844,Haarlem
12451844,Paris
13134569,Paris
13355409,Paris
12235763,Dijon
12805836,Paris
11697487,Paris
13498850,Paris
12360425,Paris
12352873,Gent
12877293,Bruxelles
13648179,Bruxelles
22250149,Paris
12754923,Bruxelles
11957850,Louvain
12260702,Bruxelles
13288613,Paris
11842610,Antwerpen
12738269,Bruxelles
13278581,Bruxelles
12559570,Palermo
11939495,Prato
12101977,Antwerpen
12527847,Bruxelles
11664391,Châlons-sur-Marne
13698132,Clermont-Ferrand
13698132,Paris
13028209,Falaise
13221334,London
11661612,Bruxelles
12454260,Tours
11654399,Bruxelles
13434965,Paris
12841004,Mons
11717077,Bruxelles
13604492,Bruxelles
12055380,Bruxelles
12608659,London
12457043,Bordeaux
12040415,Bruxelles
12586168,Marseille
12586168,Paris
12807640,Paris
22418918,Haarlem
12238472,Heidelberg
12238472,Paris
22120643,Genève
12021710,[Place of publication not identified]
13649323,Lisboa
12555624,Namur
22091068,Chalons-sur-Marne
13436304,Paris
12614108,Modena
11278860,Hamburg
22069439,Köln
13664296,Paris
11700409,Gand
12840898,Brussel
12168641,(Belgique)
13116535,Lyon
12929945,Paris
13482931,Lipsiae
12664581,Bruxelles
22174649,Paris
12772400,Tournai
12772400,Paris
12772400,Leipzig
12099512,Anvers
12397599,Gand
12167526,Weimar
11688120,Bruxelles
11716408,Stuttgart
13254176,London
11424504,Heidelberg
13372664,Paris
12721536,Gent
11959386,Paris
17160611,Paris
17160611,Lille
17160611,Tournai
12458887,Paris
12438570,Bruxelles
22288578,Bruxelles
13711195,Paris
22049585,Paris
12716699,Paris
12997037,Rennes
12060019,London
12426647,Namur
11654251,Padova
13592894,Bruxelles
13592894,Gand
13592894,Liège
13592894,Mons
11458675,Verona
11490274,Amstelodami
13435384,Lausanne
13435384,Paris
12337450,Tournai
12582726,Nancy
13475369,London
12798559,Paris
12663557,Paris
12439258,Paris
11689390,Cambrai
12638220,Paris
11908570,Gent
11489462,Leipzig
12757785,Louvain
11618572,Edinburgh
12512186,Gand
13365636,Paris
13651604,Paris
11579777,Arlon
13725989,Stuttgart
22264513,Anvers
12674208,Paris
12280007,Brussel
11695983,Paris
12829602,Paris
13675550,London
12467212,Milano
12896107,Bruxelles
13629177,Bruxelles
11404781,Leiden
12975355,Paris
12574255,Paris
12211605,Dresde
11982055,Paris
13367644,London
13011320,Trier
11267077,Paris
22170679,Douai
18161352,Tournai
11673612,Paris
12955385,Lisbonne
13548586,Paris
12944918,Bruxelles
12634261,Philadelphia
12128234,Bruxelles
11763078,Liége
11763078,Bruxelles
12125718,Paris
22426311,Paris
11700369,Bruxelles
11687876,Ruremonde
12962372,[Lieu de publication non identifié]
13706485,Marburg
13140912,Strasbourg
12166184,Andenarde
13042984,St Gallen
13227043,Barcelona
12442192,Karlsruhe
11318977,Paris
13224039,Milano
13011162,Bordeaux
11383692,Lyon
12105079,Bruxelles
22178188,Vitoria
13510451,Madrid
12546088,Hannover
12459178,Lausanne
13690201,Paris
11853528,Bruxelles
12171344,Marburgi-Cattorum
13529221,Ieper
11569291,Freiberg
15138176,[Brussel]
11540667,Paris
11974732,Tournay
12518106,Paris
15568683,Bruxellis
11588617,Paris
12728858,Paris
13040461,Bruxelles
13333107,Paris
11658726,Tolosa
15430911,A Bruxelles
11937571,Paris
11556419,Bruxelles
11556674,s' Gravenhage
11520346,Leipzig
11918873,Bordeaux
13277969,Roma
11621481,Bruxelles
13635129,Paris
11910695,Paris
13136111,London
17274664,Paris
17688383,Liége
13514958,Wolfenbüttel
12755406,Mons
13077036,Paris
13597360,Paris
13253450,Leipzig
15509939,[Bruxelles?]
13194505,Bruxelles
11553929,Bruxelles
13222602,Paris
13229036,Milano
11340561,Bruxelles
12406023,Roma
13105122,St-Pétersbourg
12453864,Mons
12170689,Heidelberg
11684230,Paris
15771476,(Paris
12174443,Paris
12152755,Bruxelles
13330436,Valenciennes
13556450,Paris
13556450,Bonn
13625138,Viennae
13397456,Bruxelles
11780297,London
12667165,Paris
13083571,Paris
15566065,[Plaats van uitgave niet geïdentificeerd]
13292706,Paris
12170151,London
22563242,St Pétersbourg
15509832,A Bruxelles
18499098,Bruxellis
12982019,Francofurti ad Maenum
12980525,Leipzig
12980525,Rostock
11788213,Bruxelles
18336655,Tot Brussel
12710920,Paris
11338853,Wien
17684784,[Bruxelles
12290034,St Ghislain
13075011,Paris
13005794,Soest
