book_id,country_code
12163581,gw
11528967,be
12021785,xx
22169951,it
11677526,be
13672019,fr
11338323,be
11484566,be
13249372,fr
11835009,be
11705027,be
13431121,fr
12000506,fr
13621021,be
12530677,fr
22166460,fr
22431064,fr
22318851,be
13032985,fr
11546837,pl
12002043,fr
12811648,be
22279769,be
22189337,be
11488969,xxk
13398939,sz
11453740,xxk
11453740,fr
12174683,be
11936293,fr
11248030,fr
13586687,gw
13600878,fr
12244336,it
11612112,be
11765643,sz
11817807,be
12550663,fr
11314964,fr
13448678,fr
11359276,fr
11898513,be
12044914,us
12291506,be
11571751,be
11596622,fr
11963866,lu
22366484,ag
12249033,gw
11663948,be
12455258,fr
12462123,fr
11284879,gw
11901998,fr
13532901,be
12170782,fr
12170782,be
13317549,fr
11653950,be
13028249,fr
13451181,be
12445844,be
12738711,fr
12934321,fr
11741719,be
13526073,gw
12141073,fr
12362320,fr
22070660,gw
12546849,gw
11582928,gw
12119326,be
11976619,sz
13508368,be
11811190,fr
22175409,be
11554054,be
13250926,enk
13457592,fr
12753883,fr
12019566,fr
12156751,fr
13533376,be
13717119,gw
12124632,xx
12579754,ru
11679170,fr
12225332,fr
12613533,fr
11706359,be
12973681,ne
12110752,gw
12785901,it
18229749,be
12567490,ru
11780203,be
11787277,fr
11625432,be
12856835,fr
11282214,gw
11620338,be
22399230,be
12154450,be
22209024,xx
11949012,be
12144169,be
22118173,gw
13415064,ne
13474819,be
13437733,be
12492120,be
12153812,be
12333664,fr
12698433,gw
11506686,fr
12087013,be
12225237,be
11720225,be
12996760,fr
12436839,be
13599034,be
12131791,fr
11631782,it
13377992,fr
11586596,gw
13306387,gw
13308643,be
12918565,be
11756111,gw
13713107,be
12822354,fr
11941261,be
12506787,gw
17581069,be
12060389,fr
13471807,enk
12057087,it
11417246,fr
11844795,xx
12511497,fr
13558225,gw
13706653,gw
12243063,fr
11337874,be
22070468,gw
12592657,fr
11997678,be
22264032,xx
11673033,be
13223670,ne
12576673,fr
13416832,fr
13459808,it
12852240,be
11661571,be
11719491,be
11668121,be
12045242,fr
11539582,be
11917048,be
12597487,be
12096853,fr
22469572,be
12265260,be
12672180,fr
11983077,fr
12015784,be
11292419,be
11773897,be
11697149,be
13536860,be
22266034,be
13549607,fr
13712761,be
12910698,fr
13587933,enk
11330688,be
11330688,ne
11821325,gw
