city_name_raw,city_name_standardized,longitude,latitude,wikidata_id
Pest,Budapest,19.040833333333,47.498333333333,Q1781
Padua,Padua,11.873333333333333,45.40777777777778,Q617
Padova,Padua,11.873333333333333,45.40777777777778,Q617
Tournay,Tournai,3.388055555555556,50.605555555555554,Q173219
et se trouve a Bruxelles,Brussels,4.351666666666667,50.846666666666664,Q239
Pisa,Pisa,10.4,43.716666666667,Q13375
Bruxellis,Brussels,4.351666666666667,50.846666666666664,Q239
(Belgique),Belgique,,,
Dendermonde,Dendermonde,4.0981,51.03123,Q13122
Orléans,Orléans,1.9041666666667,47.902222222222,Q6548
Peruwelz,Péruwelz,3.5889334,50.5117549,Q668630
Châlons-sur-Marne,Châlons-en-Champagne,4.3644444444444,48.956666666667,Q47135
[Anvers],Antwerp,4.3997222222222225,51.221111111111114,Q12892
Oxford,Oxford,-1.2577777777778,51.751944444444,Q34217
Madrid,Madrid,-3.703333333333333,40.41694444444445,Q2807
Rousselaere,Roeselare,3.1233333333333,50.944722222222,Q211037
[Lieu de publication non identifié],Unknown,,,
Marseille,Marseille,5.3763888888889,43.296666666667,Q23482
Toulouse,Toulouse,1.4433333333333334,43.60444444444445,Q7880
Amiens,Amiens,2.2977777777778,49.891944444444,Q41604
Neuchatel,Neuchâtel,6.9305555555556,46.990277777778,Q69345
Kasan,Kazan,49.114444444444,55.790833333333,Q900
Napoli,Naples,14.248611111111112,40.83583333333333,Q2634
Besançon,Besançon,6.0213888888889,47.242222222222,Q37776
Saint-Amand,Saint-Amand,2.5586111111111,50.164722222222,Q1067570
Aachen,Aachen,6.083788,50.776207,Q1017
Lyon,Lyon,4.835,45.7675,Q456
Hasselt,Hasselt,5.3384972222222,50.930480555556,Q58780
Ruremonde,Roermond,5.987222222222222,51.193333333333335,Q9783
[Plaats van uitgave niet geïdentificeerd],Unknown,,,
[Bruxelles?],Brussels,4.351666666666667,50.846666666666664,Q239
Ostende,Ostend,2.9194444444444443,51.225833333333334,Q12996
Versailles,Versailles,2.135,48.805,Q621
Lille,Lille,3.0575,50.631944444444,Q648
[Lille?],Lille,3.0575,50.631944444444,Q648
et se trouve à Bruxelles,Brussels,4.351666666666667,50.846666666666664,Q239
Valenciennes,Valenciennes,3.5233333333333334,50.35805555555555,Q163795
Verviers,Verviers,5.85,50.583333333333,Q202954
Tournai,Tournai,3.388055555555556,50.605555555555554,Q173219
Freiberg,Freiberg,13.342777777778,50.911944444444,Q14819
Antwerpen,Antwerp,4.3997222222222225,51.221111111111114,Q12892
Abbeville,Abbeville,1.8352777777778,50.105277777778,Q28520
Brussel,Brussels,4.351666666666667,50.846666666666664,Q239
Paris,Paris,2.352222222222222,48.85666666666667,Q90
Douai,Douai,3.0791666666667,50.370833333333,Q193826
Bonn,Bonn,7.102222222222222,50.735277777777775,Q586
Palermo,Palermo,13.361261944444445,38.115658055555556,Q2656
Cherbourg,Cherbourg,-1.6,49.63333333,Q3667188
Ixelles-lez-Bruxelles,Brussels,4.351666666666667,50.846666666666664,Q239
Vitoria,Victoria,-123.3657,48.422151,Q2132
Londen,London,-0.1275,51.507222222222,Q84
Echternach,Echternach,6.4216666666667,49.811666666667,Q204317
Méjico,Mexico City,-99.13589,19.353773,Q1489
Lier,Lier,4.5697222222222225,51.13111111111111,Q12460
St Pétersbourg,Saint Petersburg,30.316666666667,59.95,Q656
En Brabant,Brabant,,,
Prato,Prato,11.096561111111,43.880813888889,Q13377
Philadelphia,Philadelphia,-75.163611111111,39.952777777778,Q1345
[Salzbourg,Salzburg,13.045,47.8,Q34713
Gotha,Gotha,10.718333333333,50.948888888889,Q6986
Viennae,Vienna,16.3725,48.208333333333336,Q1741
Heilbronn,Heilbronn,9.217953,49.140428,Q715
St Gallen,St. Gallen,9.3772222222222,47.423333333333,Q25607
Carpentras,Carpentras,5.0480555555556,44.055,Q202560
Roma,Rome,12.482777777778,41.893055555556,Q220
Rio de Janeiro,Rio de Janeiro,-43.205555555555556,-22.91111111111111,Q8678
Ancona,Ancona,13.516666666667,43.616666666667,Q3415
Liegnitz,Legnica,16.1619,51.21006,Q106274
Poitiers,Poitiers,0.33527777777778,46.581111111111,Q6616
Stuttgart,Stuttgart,9.18,48.7775,Q1022
Washington,"Washington, D.C.",-77.036666666667,38.895,Q61
Rouen,Rouen,1.1025,49.443055555556,Q30974
Trier,Trier,6.63935,49.75565,Q3138
Berlin,Berlin,13.383333333333,52.516666666667,Q64
Mexico,Mexico City,-99.13589,19.353773,Q1489
Mons,Mons,3.9525,50.45472222222222,Q83407
Erlangen,Erlangen,11.005,49.5925,Q3126
Tours,Tours,0.68833333333333,47.392777777778,Q288
[Bruxelles],Brussels,4.351666666666667,50.846666666666664,Q239
Laon,Laon,3.6205555555555557,49.56444444444445,Q167141
A Ostende,Ostend,2.9194444444444443,51.225833333333334,Q12996
Rome,Rome,12.482777777778,41.893055555556,Q220
Rostock,Rostock,12.133333333333,54.083333333333,Q2861
Dresde,Dresden,13.7381437,51.0493286,Q1731
Trieste,Trieste,13.770277777777778,45.65027777777778,Q546
Torino,Turin,7.676111111111111,45.079166666666666,Q495
